
央视频道,#genre#
CCTV1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$LR•IPV4•15『线路1』
CCTV1综合,http://101.35.240.114:88/live.php?id=CCTV1$LR•IPV4•15『线路2』
CCTV1综合,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$LR•IPV4•15『线路3』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•15『线路4』
CCTV1综合,http://175.8.28.207:9999/tsfile/live/0001_1.m3u8$LR•IPV4•15『线路5』
CCTV1综合,http://t.061899.xyz/tl/tl.php?id=cctv1$LR•IPV4•15『线路6』
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•15『线路7』
CCTV1综合,http://39.135.133.132/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV4•15『线路8』
CCTV1综合,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8$LR•IPV4•15『线路9』
CCTV1综合,http://148.135.93.213:81/live.php?id=CCTV1$LR•IPV4•15『线路10』
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•15『线路11』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$LR•IPV4•15『线路12』
CCTV1综合,http://69.30.245.50/live/cctv1.m3u8$LR•IPV4•15『线路13』
CCTV1综合,http://198.204.240.250:82/live/cctv1.m3u8$LR•IPV4•15『线路14』
CCTV1综合,http://198.204.228.26/live/cctv1hd.m3u8$LR•IPV4•15『线路15』
CCTV2财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$LR•IPV4•15『线路1』
CCTV2财经,http://148.135.93.213/live.php?id=CCTV2$LR•IPV4•15『线路2』
CCTV2财经,http://218.13.14.6:60050/tsfile/live/1002_1.m3u8$LR•IPV4•15『线路3』
CCTV2财经,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$LR•IPV4•15『线路4』
CCTV2财经,http://175.8.28.207:9999/tsfile/live/0002_1.m3u8$LR•IPV4•15『线路5』
CCTV2财经,http://t.061899.xyz/tl/tl.php?id=cctv2$LR•IPV4•15『线路6』
CCTV2财经,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•15『线路7』
CCTV2财经,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$LR•IPV4•15『线路8』
CCTV2财经,https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8$LR•IPV4•15『线路9』
CCTV2财经,http://148.135.93.213:81/live.php?id=CCTV2$LR•IPV4•15『线路10』
CCTV2财经,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd$LR•IPV4•15『线路11』
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8$LR•IPV4•15『线路12』
CCTV2财经,http://69.30.245.50/live/cctv2.m3u8$LR•IPV4•15『线路13』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•15『线路14』
CCTV2财经,http://198.204.228.26/live/cctv2hd.m3u8$LR•IPV4•15『线路15』
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8$LR•IPV4•9『线路1』
CCTV3综艺,http://101.35.240.114:88/live.php?id=CCTV3$LR•IPV4•9『线路2』
CCTV3综艺,http://218.13.14.6:60050/tsfile/live/1003_1.m3u8$LR•IPV4•9『线路3』
CCTV3综艺,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$LR•IPV4•9『线路4』
CCTV3综艺,http://175.8.28.207:9999/tsfile/live/0003_1.m3u8$LR•IPV4•9『线路5』
CCTV3综艺,http://t.061899.xyz/tl/tl.php?id=cctv3$LR•IPV4•9『线路6』
CCTV3综艺,http://112.27.235.94:8000/hls/3/index.m3u8$LR•IPV4•9『线路7』
CCTV3综艺,http://39.135.135.41/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$LR•IPV4•9『线路8』
CCTV3综艺,http://148.135.93.213:81/live.php?id=CCTV3$LR•IPV4•9『线路9』
CCTV4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4•15『线路1』
CCTV4中文国际,http://148.135.93.213/live.php?id=CCTV4$LR•IPV4•15『线路2』
CCTV4中文国际,http://218.13.14.6:60050/tsfile/live/1004_1.m3u8$LR•IPV4•15『线路3』
CCTV4中文国际,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$LR•IPV4•15『线路4』
CCTV4中文国际,http://175.8.28.207:9999/tsfile/live/0004_1.m3u8$LR•IPV4•15『线路5』
CCTV4中文国际,http://t.061899.xyz/tl/tl.php?id=cctv4$LR•IPV4•15『线路6』
CCTV4中文国际,http://112.27.235.94:8000/hls/4/index.m3u8$LR•IPV4•15『线路7』
CCTV4中文国际,http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$LR•IPV4•15『线路8』
CCTV4中文国际,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8$LR•IPV4•15『线路9』
CCTV4中文国际,http://148.135.93.213:81/live.php?id=CCTV4$LR•IPV4•15『线路10』
CCTV4中文国际,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$LR•IPV4•15『线路11』
CCTV4中文国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$LR•IPV4•15『线路12』
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8$LR•IPV4•15『线路13』
CCTV4中文国际,http://69.30.245.50/live/cctv4.m3u8$LR•IPV4•15『线路14』
CCTV4中文国际,http://107.150.60.122/live/cctv4hd.m3u8$LR•IPV4•15『线路15』
CCTV5体育,http://112.46.85.60:8009/hls/503/index.m3u8$LR•IPV4•15『线路1』
CCTV5体育,http://101.35.240.114:88/live.php?id=CCTV5$LR•IPV4•15『线路2』
CCTV5体育,http://218.13.14.6:60050/tsfile/live/1005_1.m3u8$LR•IPV4•15『线路3』
CCTV5体育,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$LR•IPV4•15『线路4』
CCTV5体育,http://175.8.28.207:9999/tsfile/live/0005_1.m3u8$LR•IPV4•15『线路5』
CCTV5体育,http://t.061899.xyz/tl/tl.php?id=cctv5$LR•IPV4•15『线路6』
CCTV5体育,http://112.27.235.94:8000/hls/5/index.m3u8$LR•IPV4•15『线路7』
CCTV5体育,http://39.135.133.134/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$LR•IPV4•15『线路8』
CCTV5体育,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8$LR•IPV4•15『线路9』
CCTV5体育,http://148.135.93.213:81/live.php?id=CCTV5$LR•IPV4•15『线路10』
CCTV5体育,http://198.204.228.26/live/cctv5p.m3u8$LR•IPV4•15『线路11』
CCTV5体育,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub$LR•IPV4•15『线路12』
CCTV5体育,http://120.76.248.139/live/bfgd/4200000064.m3u8$LR•IPV4•15『线路13』
CCTV5体育,http://101.35.240.114:88/live.php?id=CCTV5$LR•IPV4•15『线路14』
CCTV5体育,http://123.163.114.168:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•15『线路15』
CCTV5+体育赛事,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$LR•IPV4•11『线路1』
CCTV5+体育赛事,http://148.135.93.213/live.php?id=CCTV5p$LR•IPV4•11『线路2』
CCTV5+体育赛事,http://tv.20191209.xyz:37377/migu/641886773.m3u8?migutoken=dfc218ce4c1ff00475c0aef03e0b883bf8a277b36671d5ca1eb7cc5f7ce7919d01ee050351170891d6e103aa7adea25827c13c901ccf6cdf4a8a370e7fd90c8b198dcb1e8814bbf2ed4fb0c8$LR•IPV4•11『线路3』
CCTV5+体育赛事,http://t.061899.xyz/tl/tl.php?id=cctv5p$LR•IPV4•11『线路4』
CCTV5+体育赛事,http://112.27.235.94:8000/hls/6/index.m3u8$LR•IPV4•11『线路5』
CCTV5+体育赛事,http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$LR•IPV4•11『线路6』
CCTV5+体育赛事,http://148.135.93.213:81/live.php?id=CCTV5p$LR•IPV4•11『线路7』
CCTV5+体育赛事,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009$LR•IPV4•11『线路8』
CCTV5+体育赛事,http://120.76.248.139/live/bfgd/4200000246.m3u8$LR•IPV4•11『线路9』
CCTV5+体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8$LR•IPV4•11『线路10』
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8$LR•IPV4•11『线路11』
CCTV6电影,http://112.27.235.94:8000/hls/7/index.m3u8$LR•IPV4•15『线路1』
CCTV6电影,http://101.35.240.114:88/live.php?id=CCTV6$LR•IPV4•15『线路2』
CCTV6电影,http://218.13.14.6:60050/tsfile/live/1006_1.m3u8$LR•IPV4•15『线路3』
CCTV6电影,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$LR•IPV4•15『线路4』
CCTV6电影,http://175.8.28.207:9999/tsfile/live/0006_1.m3u8$LR•IPV4•15『线路5』
CCTV6电影,http://t.061899.xyz/tl/tl.php?id=cctv6$LR•IPV4•15『线路6』
CCTV6电影,http://112.27.235.94:8000/hls/7/index.m3u8$LR•IPV4•15『线路7』
CCTV6电影,http://39.135.135.50/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$LR•IPV4•15『线路8』
CCTV6电影,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8$LR•IPV4•15『线路9』
CCTV6电影,http://148.135.93.213:81/live.php?id=CCTV6$LR•IPV4•15『线路10』
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8$LR•IPV4•15『线路11』
CCTV6电影,http://69.30.245.50/live/cctv6.m3u8$LR•IPV4•15『线路12』
CCTV6电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$LR•IPV4•15『线路13』
